"表头"
蝙蝠*1,1,20,4,1600,44
凤凰*1,1,20,4,1600,44
红雀*1,1,20,4,1600,44
孔雀*1,1,20,4,1600,44
老鹰*1,1,20,4,1600,44
陀螺*1,1,20,4,1600,44
鲸鱼*1,1,5,4,1600,44
紫1,10,20,1,720,43
紫2,8,20,2,720,43
紫3,8,20,3,720,43
紫4,8,20,1,720,43
紫5,4,20,2,720,43
紫6,10,20,3,720,43
紫7,8,20,1,720,43
紫8,8,20,2,720,43
紫9,8,20,3,720,43
橙卡1,10,20,1,200,42
橙卡2,20,20,2,200,42
橙卡3,30,20,3,200,42
橙卡4,10,20,1,200,42
橙卡5,20,20,2,200,42
橙卡6,30,20,3,200,42
橙卡7,10,20,1,200,42
橙卡8,20,20,2,200,42
橙卡9,30,20,3,200,42
白卡1,10,20,1,200,41
白卡2,20,20,2,200,41
白卡3,30,20,3,200,41
白卡4,10,20,1,200,41
白卡5,20,20,2,200,41
白卡6,30,20,3,200,41
白卡7,10,20,1,200,41
白卡8,20,20,2,200,41
白卡9,30,20,3,200,41
300钻,300,50,1,300,2
400钻,400,80,2,400,2
500钻,500,100,3,500,2
袋鼠球*5,5,100,1,50,5
袋鼠球*6,6,90,2,60,5
袋鼠球*7,7,80,3,70,5
袋鼠球*8,8,70,1,80,5
袋鼠球*9,9,60,2,90,5
袋鼠球*10,10,50,3,100,5
金币*2000,2000,100,1,50,3
金币*3000,3000,80,1,60,3
金币*4000,4000,60,1,70,3
金币*5000,5000,40,2,80,3
金币*6000,6000,20,2,90,3
金币*7000,7000,10,2,100,3
金币*8000,8000,60,3,70,3
金币*9000,9000,40,3,80,3
金币*10000,10000,20,3,90,3
