1,0,90,1,6,0,1,8,3
2,90,210,1,6,0,1,8,3
3,210,360,1,5,181,4,0,0
4,360,480,1,4,31,10,3,0
5,480,640,1,2,0,300,0,0
6,640,840,1,5,182,4,0,0
7,840,990,1,4,55,12,3,0
8,990,1180,1,2,0,400,0,0
9,1180,1400,1,5,181,6,0,0
10,1400,1560,1,4,32,14,3,0
11,1560,1780,1,2,0,500,0,0
12,1780,2040,1,5,182,6,0,0
13,2040,2250,1,4,31,16,3,0
14,2250,2520,1,2,0,600,0,0
15,2520,2840,1,5,181,8,0,0
16,2840,3100,1,4,55,18,3,0
17,3100,3450,1,2,0,700,0,0
18,3450,3880,1,5,182,8,0,0
19,3880,4230,1,6,0,1,5,3
20,4230,4680,1,5,181,9,0,0
21,4680,5220,1,3,0,10000,0,0
22,5220,5680,1,6,0,1,5,3
23,5680,6250,1,5,182,9,0,0
24,6250,6920,1,3,0,15000,0,0
25,6920,7520,1,6,0,1,5,3
26,7520,8220,1,5,181,10,0,0
27,8220,9040,1,3,0,20000,0,0
28,9040,9790,1,6,0,1,5,3
29,9790,10640,1,5,182,10,0,0
30,10640,11600,1,3,0,25000,0,0
