user_id,user_type,tag
10001016,big,free-gift3-free-token
10013710,big,free-token-gift5-free-free
1001853,big,free-token-free-gift2-free
10025125,big,free-token-gift2-free-free-gift1
10032135,big,free-token-free-token-gift3-free-token-gift3
10033214,big,free-gift1-free-token-gift1-free
10044173,big,gift3-free-gift3-gift1
10056544,big,free-token-gift1-free-free-token-gift1
10062003,big,free-token-gift2
10066273,big,free-token-gift2-free-free
10069994,big,free-token-free-token-gift1-free-token
10074287,big,free-token-free-token-free-token-gift1
10078976,big,free-gift2-token-gift1-free-free
10079568,big,free-gift1-gift2-free-free-token-gift1-gift2
10082010,big,free-gift1
1008389,big,free-free-gift1-token-free
10095299,big,free-token-free-token-free-gift2
10099681,big,free-token-gift2-free-token-free-token
10102148,big,gift2-free-gift1
10105436,big,free-token-gift1-gift2-free-token-gift1-free-token
10106335,big,free-token-gift3-free-token-gift3-free-token-gift3-gift1
1010758,big,free-gift1-free-token-free-token-gift1
10116445,big,free-token-free-token-free-token-gift1
10119918,big,free-token-free-token-gift1-free-token
101292,big,free-free-free-token-gift3
10134853,big,free-gift1-gift2-free-token-free
10136056,big,free-free-free-token-gift1
10142699,big,gift5-free-gift5-free-token-free
10157826,big,free-token-free-token-gift2-free-token
10176884,big,free-token-gift2-gift1-free-token-free-token
10177988,big,free-token-free-token-gift1-free-token
10201713,big,gift5-free-token-free
1020379,big,gift3
10205010,big,free-token-free-token-free-token-gift1
10224803,big,free-free-gift4
10229896,big,free-token-gift3-free-free
10237756,big,free-token-gift1
10239535,big,gift1-free-token-free-token-free
10240108,big,free-gift3-free-free-token
10240902,big,free-token-free-token-gift1
10260868,big,free-token-free-token-free-token-gift1
10262356,big,free-gift3-gift1-gift2-token-free-free-gift3-gift2
102815,big,free-token-gift1-free-token-gift1-free-token
1029158,big,free-free-gift1-free
10293410,big,free-gift4-token-token-free
1029880,big,free-free-gift3
10309368,big,free-token-free-token-free-token-gift1
10311979,big,free-gift1-gift1-free
10313408,big,free-gift2-free
10317020,big,gift2-free-free-free
1032421,big,free-gift1-token-free-free-token
10324540,big,free-token-free-token-gift3-free-token
10331513,big,free-token-gift1-free-free-gift1-token
10332636,big,free-gift3-gift1
10350471,big,free-gift1-token-free-free
10356167,big,free-gift1-free-free
10370131,big,gift2-free-gift2
10371562,big,free-token-gift1-free-gift1-gift2-gift3-free
10376716,big,gift3-free-gift2-gift1-token-free-token-free
10385059,big,free-gift1-gift2-free-gift1-free
10387876,big,free-gift4-free-token
10392487,big,free-token-free-token-free-token-gift2
10401948,big,free-token-gift1-free-token-free-token
10406292,big,free-token-free-token-free-token-gift1
104083,big,free-token-gift4-gift3-free-token-free-token
10408528,big,free-free-free-gift2-token
10413201,big,token-free-gift2
10419705,big,free-token-free-token-free-gift2-token
10427762,big,free-token-gift3-gift2-free-free-token
1043680,big,free-gift3-free-free-token
10448227,big,free-gift2-gift1-free-free-token-gift2-gift1
10453884,big,gift4-free-gift4
10477522,big,gift5-free-token-gift1
10478610,big,free-token-free-gift1-free-token-gift1
10483220,big,free-gift3-free-free-token-gift3
10490890,big,free-token-gift4-free-token-free-gift3-gift1
10494406,big,free-token-gift3-free-free-token
10495795,big,free-free-gift5
10499195,big,free-free-gift1-gift2-free-token
10505398,big,free-token-gift1-free-token-free-token
105110,big,free-token-gift1-free-token-gift3-gift2-gift1
10542027,big,free-token-gift1-free-free-token
10546163,big,free-token-gift1-free-token-gift1-free-token-gift1
10549763,big,free-gift2-free
10552765,big,free-token-free-token-free-token-gift1
1055938,big,free-gift2-free-free-gift3
10576479,big,free-token-free-token-gift2-free-token
10584088,big,free-free-gift3-free-token
1061321,big,free-gift2-gift1-free-free
10617508,big,free-gift3-free-token-free
10622079,big,free-token-free-token-gift1-free-token
10622605,big,token-free-gift5-free-token-token-free
10625867,big,free-token-gift1-free-gift1-token-free
10631224,big,free-token-free-token-gift3-free
10642479,big,gift1
10648696,big,free-token-free-token-free-token-gift1
10648840,big,free-token-gift2-gift1-free-gift1
10649344,big,free-free-free-gift1-free-free
10660749,big,free-token-gift3-token-free-gift2
10668935,big,free-token-gift1-gift2-free-token-free-token-gift2
10676050,big,gift3
10696279,big,free-token-free-token-gift3-free
10696876,big,gift1-gift2
10697862,big,gift4-free-token
10703038,big,free-token-gift2-free-token
10708462,big,free-token-gift3-free-token-free-token
10713849,big,free-token-free-token-free-gift4-token
10729346,big,free-token-free-token-free-token-gift1
10731206,big,free-token-gift3-free-token-free-token
10735722,big,free-free-gift3
10735772,big,free-free-free-gift2
10747834,big,free-gift3-free-token-free
1077205,big,free-gift1-gift2-free-free-gift1
10780147,big,free-token-free-token-free-gift1
10782651,big,free-free-free-token-gift1-gift2
10789572,big,free-gift5-token-gift4-free-free
10794106,big,free-token-gift1-gift2-free-token-free
10794628,big,free-token-gift1-gift2-free-token-free-token-gift2
10811771,big,free-token-free-token-free-token-gift1
10811889,big,free-token-gift2-free-free-token
10816315,big,free-gift2-gift1-token-free-free-token
10817698,big,free-gift3-free-token
10820931,big,free-free-token-gift5-free
10824872,big,free-gift4-gift2-token-free-free-gift2-gift1
10826291,big,free-free-gift3
10831308,big,free-token-gift3-free-token-free-token-gift2
10833788,big,free-token-gift5-free-token
10837385,big,free-token-gift1-free-free-token-gift1
